name,show,theme,img,primary,accessible,mobile_friendly,description,url,keywords,contact,notes
Annual survey of hours and earnings,,work_pay,,geographic,,,"Hourly, weekly and annual earnings. View by sex and work pattern (full or part time). Charts and maps.",https://visual.nisra.gov.uk/?body=entity/ashe,"ASHE, earnings, pay, working pattern, gross earnings, ",economicstats@nisra.gov.uk,
Real earnings in Northern Ireland,,work_pay,,policy_specific,,,,https://nisravis.shinyapps.io/ni_real_earnings_2022/,,economicstats@nisra.gov.uk,Out of date? 2022. Scrollytelling
Family practitioner services key facts,TRUE,health,,equality_deprivation,,,"GP, dental, opthalmic and pharmaceutical services. Patients, practices and payments. Charts, maps and key statistics.",https://datavis.nisra.gov.uk/bso/2526-key-facts-dashboard.html,"general practice, GPs, dentist, optician, opthamologist, pharmacy, chemist, ",Aileen.Gordon@hscni.net,
Substance use strategy dashboard,TRUE,health,,database_lookup,,,Strategic framework to tackle the harm from substance use. Indicators and ,https://datavis.nisra.gov.uk/health/substance-use-strategy-indicators-dashboard.html,"alcohol, drugs, substance abuse, treatment, support services, recovery, harm",phirb@health-ni.gov.uk,
Distance to nearest dental practice,TRUE,health,,geographic,,,See the average distance to the nearest dental practice for wards in Northern Ireland. Interactive map.,https://datavis.nisra.gov.uk/bso/distance-to-nearest-dental-practice-26.html,"dentist, dental practice, distance",,
Distance to nearest opthalmic practice,,health,,policy_specific,,,See the average distance to the nearest opthalmic practice for wards in Northern Ireland. Interactive map.,https://datavis.nisra.gov.uk/bso/distance-to-nearest-ophthalmic-practice-21.html,,,Out of date? 2021
Health and social care vacancies being recruited,TRUE,health,,equality_deprivation,,,"Explore vacancies in health and social care. View by pay band, profession, organisation and more. ",https://datavis.nisra.gov.uk/health/ni-active-recruitment-statistics-interactive.html,"HSC vacancies, staff, recruitment, medical, dental, ambulance, estates, nurse, nursing, midwife, midwifery, social services,  support services, doctor, consultant, social care, social worker, health profession, physiotherapist",workforcestatistics@health-ni.gov.uk,
HSC workforce census,,health,,database_lookup,,,,https://datavis.nisra.gov.uk/health/ni-workforce-census-interactive-2024.html,,,Out of date? updated August 2024
Health and social care workforce census,TRUE,health,,geographic,,,"Trends in health and social care workforce over 5 years. Data by trust, age group, gender and more. Tables and charts",https://datavis.nisra.gov.uk/health/ni-workforce-census-interactive-trends-2025.html,"health professionals, dietitian, occupational therapist, orthoptist, paramedic, physiotherapist, podiatrist, radiographer, speech and language, ambulance, estate services, medical, dental, doctor, nurse, midwife, social services, clerical",workforcestatistics@health-ni.gov.uk,
41st card,TRUE,work_pay,,policy_specific,,,"this should make it say ""of 41 tools""",,,,
